Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2023-01-27,"Explorer","Schicke Führs Fröhling",https://www.shazam.com/track/40039310/explorer,40039310
2,2023-01-04,"Footsteps In the Dark","Karate Boogaloo",https://www.shazam.com/track/513691002/footsteps-in-the-dark,513691002
3,2022-12-29,"Djapana (Sunset Dreaming) [Radio Mix]","Yothu Yindi",https://www.shazam.com/track/73630976/djapana-sunset-dreaming-radio-mix,73630976
4,2022-10-23,"Impossible Germany","Wilco",https://www.shazam.com/track/44920986/impossible-germany,44920986
5,2022-10-07,"The Ballad of Buck Ravers","SAMURAI",https://www.shazam.com/track/527251656/the-ballad-of-buck-ravers,527251656
6,2022-10-07,"Never Fade Away","SAMURAI",https://www.shazam.com/track/480034872/never-fade-away,480034872
7,2022-09-25,"Do You Dare","Alexander",https://www.shazam.com/track/85959336/do-you-dare,85959336
8,2022-08-28,"Hangin' On a String","Loose Ends",https://www.shazam.com/track/10257304/hangin-on-a-string,10257304
9,2022-08-15,"Shakara (Oloje) [feat. Afrika 70]","Fela Kuti",https://www.shazam.com/track/10754406/shakara-oloje-feat-afrika-70,10754406
10,2022-08-13,"Marquee Moon","Television",https://www.shazam.com/track/10917070/marquee-moon,10917070
11,2022-08-07,"I Want Your Love","Chic",https://www.shazam.com/track/5247292/i-want-your-love,5247292
12,2022-07-15,"Fire In The Sky","Anderson .Paak",https://www.shazam.com/track/580847901/fire-in-the-sky,580847901
13,2022-07-02,"Genius of Love","Tom Tom Club",https://www.shazam.com/track/328017/genius-of-love,328017
14,2022-06-05,"Wrapped Up","Eddy Current Suppression Ring",https://www.shazam.com/track/49967641/wrapped-up,49967641
15,2022-05-14,"Strawberry Letter 23","The Brothers Johnson",https://www.shazam.com/track/10085865/strawberry-letter-23,10085865
16,2022-04-29,"Fill Me Up","Elaine & Ellen",https://www.shazam.com/track/401815188/fill-me-up,401815188
17,2022-04-28,"Never Fade Away","SAMURAI",https://www.shazam.com/track/480034872/never-fade-away,480034872
18,2022-04-22,"Holding on for Life","Broken Bells",https://www.shazam.com/track/100583977/holding-on-for-life,100583977
19,2022-03-28,"The Magnificent Moon","Mildlife",https://www.shazam.com/track/381354122/the-magnificent-moon,381354122
20,2022-03-25,"Opal (Four Tet Remix)","Bicep",https://www.shazam.com/track/406428656/opal-four-tet-remix,406428656
21,2022-03-13,"What's a Girl to Do","Fatima Yamaha",https://www.shazam.com/track/101208535/whats-a-girl-to-do,101208535
22,2022-03-12,"My Good Gal","Old Crow Medicine Show",https://www.shazam.com/track/44534423/my-good-gal,44534423
